datetime,open,high,low,close,volume
2025-04-09 10:00:00,16.6,16.61,16.31,16.53,167110.88
2025-04-09 11:00:00,16.52,16.53,16.1,16.19,227742.59
2025-04-09 12:00:00,16.2,16.3,15.96,16.18,153825.95
2025-04-09 13:00:00,16.18,16.62,16.14,16.48,226007.61
2025-04-09 14:00:00,16.48,16.8,16.37,16.64,283808.67
2025-04-09 15:00:00,16.64,16.91,16.61,16.81,142657.95
2025-04-09 16:00:00,16.82,17.39,16.74,17.36,223047.84
2025-04-09 17:00:00,17.37,18.91,17.22,18.84,1259867.88
2025-04-09 18:00:00,18.83,18.91,18.21,18.22,491636.53
2025-04-09 19:00:00,18.22,18.64,18.22,18.54,166839.19
2025-04-09 20:00:00,18.54,18.63,18.41,18.62,168987.05
2025-04-09 21:00:00,18.62,18.7,18.49,18.65,123308.71
2025-04-09 22:00:00,18.65,18.7,18.53,18.55,89212.33
2025-04-09 23:00:00,18.56,18.59,18.41,18.44,70631.13
2025-04-10 00:00:00,18.44,18.45,18.19,18.3,84136.74
2025-04-10 01:00:00,18.29,18.35,18.15,18.23,62513.5
2025-04-10 02:00:00,18.23,18.32,18.15,18.18,45055.43
2025-04-10 03:00:00,18.19,18.19,17.8,18.03,88173.33
2025-04-10 04:00:00,18.03,18.17,17.94,18.17,55322.75
2025-04-10 05:00:00,18.16,18.31,18.14,18.26,55080.86
2025-04-10 06:00:00,18.26,18.36,18.14,18.28,43870.72
2025-04-10 07:00:00,18.28,18.33,18.01,18.04,64624.13
2025-04-10 08:00:00,18.05,18.12,17.96,18.07,57770.83
2025-04-10 09:00:00,18.07,18.16,17.97,18.07,66664.57
2025-04-10 10:00:00,18.08,18.09,17.9,17.97,39952.96
2025-04-10 11:00:00,17.97,18.05,17.91,18.02,54779.04
2025-04-10 12:00:00,18.02,18.39,17.95,18.14,290808.81
2025-04-10 13:00:00,18.14,18.33,18.01,18.08,155397.38
2025-04-10 14:00:00,18.09,18.37,17.99,18.21,102493.1
2025-04-10 15:00:00,18.21,18.27,17.55,17.67,269897.1
2025-04-10 16:00:00,17.67,17.96,17.59,17.94,165476.83
2025-04-10 17:00:00,17.94,18.03,17.8,17.92,127806.2
2025-04-10 18:00:00,17.92,18.26,17.91,18.16,102832.03
2025-04-10 19:00:00,18.16,18.25,18.04,18.11,88402.45
2025-04-10 20:00:00,18.1,18.43,18.1,18.36,77308.8
2025-04-10 21:00:00,18.37,18.43,18.21,18.26,60310.52
2025-04-10 22:00:00,18.26,18.35,18.18,18.19,51038.53
2025-04-10 23:00:00,18.18,18.35,18.16,18.31,50753.32
2025-04-11 00:00:00,18.31,18.61,18.31,18.39,95638.98
2025-04-11 01:00:00,18.4,18.58,18.32,18.52,82269.94
2025-04-11 02:00:00,18.52,18.67,18.44,18.47,68388.93
2025-04-11 03:00:00,18.46,18.56,18.43,18.55,67928.68
2025-04-11 04:00:00,18.55,18.6,18.44,18.53,51178.06
2025-04-11 05:00:00,18.53,18.55,18.44,18.51,57046.11
2025-04-11 06:00:00,18.52,18.66,18.49,18.61,51773.56
2025-04-11 07:00:00,18.6,18.62,18.45,18.55,40600.46
2025-04-11 08:00:00,18.55,18.68,18.44,18.49,109245.23
2025-04-11 09:00:00,18.49,18.76,18.4,18.68,116776.49
2025-04-11 10:00:00,18.68,18.99,18.56,18.85,225620.04
2025-04-11 11:00:00,18.85,18.96,18.73,18.85,71889.54
2025-04-11 12:00:00,18.85,19.2,18.77,19.2,267259.09
2025-04-11 13:00:00,19.2,19.44,18.93,19.12,304698.16
2025-04-11 14:00:00,19.11,19.54,18.96,19.45,380255.36
2025-04-11 15:00:00,19.45,19.56,19.18,19.2,144125.18
2025-04-11 16:00:00,19.2,19.35,19.11,19.29,81591.34
2025-04-11 17:00:00,19.29,19.51,19.23,19.43,103307.39
2025-04-11 18:00:00,19.43,19.57,19.22,19.24,131365.71
2025-04-11 19:00:00,19.24,19.34,19.18,19.22,34503.24
2025-04-11 20:00:00,19.22,19.28,19.18,19.24,42711.69
2025-04-11 21:00:00,19.25,19.37,19.18,19.22,33413.3
2025-04-11 22:00:00,19.22,19.26,19.11,19.13,49887.38
2025-04-11 23:00:00,19.13,19.2,19.04,19.12,34370.82
2025-04-12 00:00:00,19.13,19.17,19.03,19.05,64318.88
2025-04-12 01:00:00,19.04,19.05,18.93,18.96,43471.49
2025-04-12 02:00:00,18.95,19.01,18.84,18.85,40565.62
2025-04-12 03:00:00,18.85,18.96,18.84,18.91,24110.84
2025-04-12 04:00:00,18.92,19.16,18.86,19.14,50924.49
2025-04-12 05:00:00,19.15,19.25,19.09,19.1,63248.52
2025-04-12 06:00:00,19.11,19.31,19.08,19.11,83976.13
2025-04-12 07:00:00,19.1,19.16,19.03,19.1,46018.4
2025-04-12 08:00:00,19.11,19.26,19.06,19.08,60087.04
2025-04-12 09:00:00,19.08,19.14,19.05,19.09,30805.09
2025-04-12 10:00:00,19.08,19.17,18.95,19.03,71585.77
2025-04-12 11:00:00,19.03,19.17,19.01,19.14,74901.72
2025-04-12 12:00:00,19.13,19.27,19.1,19.18,74264.98
2025-04-12 13:00:00,19.18,19.47,19.12,19.44,126693.53
2025-04-12 14:00:00,19.45,20.06,19.42,19.93,359410.02
2025-04-12 15:00:00,19.92,21.03,19.9,20.51,533813.78
2025-04-12 16:00:00,20.51,20.84,20.28,20.39,254095.52
2025-04-12 17:00:00,20.39,20.5,20.1,20.16,112932.13
2025-04-12 18:00:00,20.15,20.49,20.15,20.42,83514.91
2025-04-12 19:00:00,20.42,20.42,20.15,20.19,71842.43
2025-04-12 20:00:00,20.19,20.48,20.16,20.32,72029.71
2025-04-12 21:00:00,20.32,20.67,20.29,20.56,87572.42
2025-04-12 22:00:00,20.56,20.67,20.42,20.45,82526.41
2025-04-12 23:00:00,20.44,20.5,20.34,20.49,52750.7
2025-04-13 00:00:00,20.5,20.68,20.36,20.56,87870.08
2025-04-13 01:00:00,20.56,20.63,20.25,20.29,78267.32
2025-04-13 02:00:00,20.29,20.42,20.19,20.4,44204.84
2025-04-13 03:00:00,20.39,20.45,20.21,20.25,50994.05
2025-04-13 04:00:00,20.24,20.28,20.05,20.12,45563.39
2025-04-13 05:00:00,20.12,20.14,19.97,20.02,51394.05
2025-04-13 06:00:00,20.02,20.07,19.94,19.99,39601.58
2025-04-13 07:00:00,19.99,20.14,19.88,19.92,57618.06
2025-04-13 08:00:00,19.92,20.1,19.9,20.09,40383.61
2025-04-13 09:00:00,20.08,20.26,20.02,20.25,39827.83
2025-04-13 10:00:00,20.25,20.28,20.07,20.13,55492.15
2025-04-13 11:00:00,20.13,20.14,19.92,20.0,46168.28
2025-04-13 12:00:00,20.0,20.03,19.83,19.85,60913.4
2025-04-13 13:00:00,19.85,19.94,19.51,19.59,96393.83
2025-04-13 14:00:00,19.59,19.76,19.54,19.75,71762.06
2025-04-13 15:00:00,19.75,19.78,19.62,19.75,53879.0
2025-04-13 16:00:00,19.75,20.03,19.71,19.98,113043.51
2025-04-13 17:00:00,19.98,20.49,19.98,20.39,172008.93
2025-04-13 18:00:00,20.39,20.52,20.26,20.26,70578.94
2025-04-13 19:00:00,20.27,20.28,19.43,19.73,262266.33
2025-04-13 20:00:00,19.74,19.97,19.51,19.55,148901.16
2025-04-13 21:00:00,19.55,19.63,19.27,19.47,241935.34
2025-04-13 22:00:00,19.48,19.59,19.37,19.46,77689.02
2025-04-13 23:00:00,19.46,19.63,19.42,19.59,74423.94
2025-04-14 00:00:00,19.6,20.13,19.55,19.86,167916.72
2025-04-14 01:00:00,19.86,20.15,19.81,20.08,107303.27
2025-04-14 02:00:00,20.09,20.6,20.03,20.19,166364.14
2025-04-14 03:00:00,20.19,20.21,19.89,19.97,89315.41
2025-04-14 04:00:00,19.97,20.29,19.96,20.21,70182.04
2025-04-14 05:00:00,20.21,20.27,19.87,19.93,48741.87
2025-04-14 06:00:00,19.93,19.99,19.81,19.97,66213.83
2025-04-14 07:00:00,19.97,20.15,19.8,20.12,91706.65
2025-04-14 08:00:00,20.13,20.4,20.11,20.14,136305.02
2025-04-14 09:00:00,20.15,20.23,19.96,20.07,46754.54
2025-04-14 10:00:00,20.07,20.52,20.07,20.48,99066.98
2025-04-14 11:00:00,20.49,20.53,20.33,20.51,126402.9
2025-04-14 12:00:00,20.51,20.68,20.37,20.55,145608.08
2025-04-14 13:00:00,20.55,20.58,20.14,20.16,139673.55
2025-04-14 14:00:00,20.16,20.55,20.16,20.38,132527.14
2025-04-14 15:00:00,20.38,20.4,19.76,19.83,196762.88
2025-04-14 16:00:00,19.83,20.1,19.72,19.96,110929.51
2025-04-14 17:00:00,19.96,20.39,19.96,20.34,176908.41
2025-04-14 18:00:00,20.35,20.52,20.33,20.4,143504.37
2025-04-14 19:00:00,20.4,20.45,20.27,20.3,65986.86
2025-04-14 20:00:00,20.3,20.38,20.18,20.34,47677.32
2025-04-14 21:00:00,20.33,20.35,20.05,20.16,35850.47
2025-04-14 22:00:00,20.17,20.23,20.08,20.17,50563.45
2025-04-14 23:00:00,20.16,20.23,20.06,20.11,31337.24
2025-04-15 00:00:00,20.12,20.21,20.05,20.16,45204.16
2025-04-15 01:00:00,20.16,20.21,19.91,20.01,113979.26
2025-04-15 02:00:00,20.01,20.09,19.85,20.06,42102.94
2025-04-15 03:00:00,20.07,20.25,19.92,20.24,73820.47
2025-04-15 04:00:00,20.23,20.28,20.09,20.12,73960.71
2025-04-15 05:00:00,20.11,20.17,19.94,19.95,80860.96
2025-04-15 06:00:00,19.94,20.0,19.81,19.92,76718.33
2025-04-15 07:00:00,19.91,20.07,19.9,19.98,72231.44
2025-04-15 08:00:00,19.98,20.05,19.9,19.93,44683.92
2025-04-15 09:00:00,19.92,20.15,19.9,20.15,74536.45
2025-04-15 10:00:00,20.14,20.16,19.85,19.9,114627.52
2025-04-15 11:00:00,19.89,19.96,19.8,19.9,50737.74
2025-04-15 12:00:00,19.91,20.02,19.88,20.02,69618.51
2025-04-15 13:00:00,20.02,20.26,19.91,19.93,109697.69
2025-04-15 14:00:00,19.93,20.01,19.54,19.76,220373.62
2025-04-15 15:00:00,19.76,19.83,19.46,19.54,110025.01
2025-04-15 16:00:00,19.54,19.64,19.48,19.5,79833.23
2025-04-15 17:00:00,19.49,19.55,19.34,19.4,97326.59
2025-04-15 18:00:00,19.41,19.58,19.33,19.53,42659.92
