datetime,open,high,low,close,volume
2025-04-09 10:00:00,11.36,11.48,11.3,11.44,109491.54
2025-04-09 11:00:00,11.43,11.44,11.1,11.18,690195.07
2025-04-09 12:00:00,11.18,11.3,11.05,11.23,219800.13
2025-04-09 13:00:00,11.23,11.48,11.16,11.39,308503.65
2025-04-09 14:00:00,11.39,11.5,11.28,11.29,244376.14
2025-04-09 15:00:00,11.28,11.45,11.28,11.37,130773.82
2025-04-09 16:00:00,11.37,11.53,11.35,11.52,123775.22
2025-04-09 17:00:00,11.53,12.64,11.4,12.61,2236538.44
2025-04-09 18:00:00,12.6,12.76,12.45,12.45,739489.92
2025-04-09 19:00:00,12.46,12.68,12.45,12.6,212135.2
2025-04-09 20:00:00,12.6,12.77,12.6,12.75,207876.94
2025-04-09 21:00:00,12.76,12.82,12.64,12.77,189601.59
2025-04-09 22:00:00,12.77,12.82,12.7,12.74,126416.37
2025-04-09 23:00:00,12.75,12.78,12.64,12.65,117551.55
2025-04-10 00:00:00,12.65,12.67,12.41,12.5,186530.7
2025-04-10 01:00:00,12.51,12.54,12.36,12.4,103993.94
2025-04-10 02:00:00,12.41,12.48,12.37,12.4,110117.96
2025-04-10 03:00:00,12.4,12.41,12.16,12.32,158600.97
2025-04-10 04:00:00,12.32,12.38,12.23,12.37,73653.01
2025-04-10 05:00:00,12.37,12.48,12.34,12.43,94845.9
2025-04-10 06:00:00,12.44,12.51,12.37,12.46,92847.81
2025-04-10 07:00:00,12.46,12.49,12.24,12.32,131583.59
2025-04-10 08:00:00,12.33,12.38,12.26,12.35,65820.35
2025-04-10 09:00:00,12.36,12.44,12.28,12.42,76843.42
2025-04-10 10:00:00,12.42,12.44,12.3,12.38,92041.28
2025-04-10 11:00:00,12.39,12.42,12.27,12.41,134858.85
2025-04-10 12:00:00,12.4,12.62,12.3,12.36,431373.06
2025-04-10 13:00:00,12.36,12.45,12.18,12.24,273854.29
2025-04-10 14:00:00,12.25,12.47,12.18,12.29,351188.37
2025-04-10 15:00:00,12.29,12.31,11.77,11.83,547026.69
2025-04-10 16:00:00,11.82,11.92,11.68,11.88,409758.74
2025-04-10 17:00:00,11.87,11.95,11.77,11.94,274101.12
2025-04-10 18:00:00,11.93,12.02,11.89,12.0,136378.61
2025-04-10 19:00:00,11.99,12.11,11.95,12.0,121927.76
