datetime,open,high,low,close,volume
2025-04-09 10:00:00,106.61,107.34,106.04,106.87,199297.93
2025-04-09 11:00:00,106.87,106.87,102.75,103.43,513052.244
2025-04-09 12:00:00,103.42,104.94,102.31,104.47,266041.236
2025-04-09 13:00:00,104.47,107.07,103.89,106.03,414765.414
2025-04-09 14:00:00,106.02,107.43,105.54,105.84,303091.761
2025-04-09 15:00:00,105.85,107.1,105.84,106.54,160978.661
2025-04-09 16:00:00,106.54,108.37,106.22,108.29,248764.616
2025-04-09 17:00:00,108.29,119.8,107.26,119.37,2283809.489
2025-04-09 18:00:00,119.38,121.0,117.45,117.65,1015225.459
2025-04-09 19:00:00,117.65,119.67,117.64,118.95,285042.851
2025-04-09 20:00:00,118.95,120.26,118.66,120.1,181058.425
2025-04-09 21:00:00,120.1,120.5,118.07,119.57,298048.724
2025-04-09 22:00:00,119.56,120.41,118.99,119.22,204524.727
2025-04-09 23:00:00,119.23,119.49,118.43,119.05,175821.387
2025-04-10 00:00:00,119.05,119.3,116.81,117.58,215250.289
2025-04-10 01:00:00,117.57,118.0,116.59,117.01,173759.912
2025-04-10 02:00:00,117.0,117.57,116.74,116.96,119615.231
2025-04-10 03:00:00,116.97,117.02,114.5,115.49,224394.091
2025-04-10 04:00:00,115.5,115.87,114.66,115.71,223448.968
2025-04-10 05:00:00,115.7,116.55,115.37,116.14,125698.189
2025-04-10 06:00:00,116.14,116.99,115.93,116.07,500154.496
2025-04-10 07:00:00,116.07,116.64,114.05,114.78,254586.389
2025-04-10 08:00:00,114.79,115.18,114.11,114.61,151315.114
2025-04-10 09:00:00,114.61,115.24,114.24,114.86,134441.459
2025-04-10 10:00:00,114.87,114.88,113.77,114.44,126946.818
2025-04-10 11:00:00,114.45,114.59,113.39,113.95,143567.347
2025-04-10 12:00:00,113.94,115.76,112.86,113.38,484395.527
2025-04-10 13:00:00,113.38,113.84,111.9,112.77,415582.514
2025-04-10 14:00:00,112.77,114.58,112.43,112.9,283164.9
2025-04-10 15:00:00,112.89,113.15,109.39,109.6,548476.55
2025-04-10 16:00:00,109.6,110.32,108.5,109.41,365387.468
2025-04-10 17:00:00,109.41,110.65,108.21,110.46,331958.939
2025-04-10 18:00:00,110.45,111.48,110.15,111.38,212874.045
2025-04-10 19:00:00,111.38,111.9,110.79,111.34,138348.425
2025-04-10 20:00:00,111.34,112.88,111.27,112.84,117693.17
2025-04-10 21:00:00,112.83,112.89,111.93,112.35,80499.336
2025-04-10 22:00:00,112.35,113.4,112.11,112.66,116104.237
2025-04-10 23:00:00,112.66,113.06,112.31,112.81,78661.215
2025-04-11 00:00:00,112.8,113.42,112.16,112.25,117964.915
2025-04-11 01:00:00,112.26,114.24,112.19,114.2,139577.125
2025-04-11 02:00:00,114.19,115.55,113.7,114.39,127145.492
2025-04-11 03:00:00,114.39,115.78,114.38,115.41,135736.91
2025-04-11 04:00:00,115.42,116.32,115.16,115.49,79999.598
2025-04-11 05:00:00,115.49,116.14,115.0,116.05,77256.179
2025-04-11 06:00:00,116.05,117.76,116.05,116.96,150318.481
2025-04-11 07:00:00,116.97,117.04,116.18,116.59,81110.996
2025-04-11 08:00:00,116.6,117.92,115.87,117.57,313521.637
2025-04-11 09:00:00,117.57,118.56,116.95,118.23,180449.353
2025-04-11 10:00:00,118.22,119.13,117.65,118.7,241995.984
2025-04-11 11:00:00,118.7,119.4,117.69,118.02,209847.267
2025-04-11 12:00:00,118.03,119.11,117.58,117.9,194329.715
2025-04-11 13:00:00,117.89,121.57,117.66,120.58,509638.863
2025-04-11 14:00:00,120.57,121.01,118.56,119.7,383693.7
2025-04-11 15:00:00,119.71,120.3,118.56,119.91,266584.163
2025-04-11 16:00:00,119.91,120.58,118.66,119.96,168692.178
2025-04-11 17:00:00,119.96,122.0,119.83,121.41,274472.783
2025-04-11 18:00:00,121.42,121.79,119.83,119.93,186466.12
2025-04-11 19:00:00,119.93,120.93,119.92,120.87,110926.013
2025-04-11 20:00:00,120.87,121.98,120.6,121.6,103773.856
2025-04-11 21:00:00,121.61,122.65,120.95,121.15,126016.17
2025-04-11 22:00:00,121.16,121.42,120.72,121.18,60842.532
2025-04-11 23:00:00,121.18,121.91,119.99,121.41,103706.859
2025-04-12 00:00:00,121.41,122.23,120.84,121.19,151011.658
2025-04-12 01:00:00,121.19,121.81,120.62,121.21,81174.498
2025-04-12 02:00:00,121.2,121.5,119.41,119.64,120540.996
2025-04-12 03:00:00,119.64,120.5,119.57,120.18,87405.928
2025-04-12 04:00:00,120.18,123.9,119.82,122.69,307792.515
2025-04-12 05:00:00,122.69,122.93,122.09,122.39,122349.165
2025-04-12 06:00:00,122.39,123.6,122.39,122.9,146469.736
2025-04-12 07:00:00,122.9,124.57,122.75,124.26,260104.569
2025-04-12 08:00:00,124.26,125.52,124.01,124.34,207242.372
2025-04-12 09:00:00,124.33,124.87,124.04,124.65,76926.939
2025-04-12 10:00:00,124.64,124.93,124.03,124.39,106438.329
2025-04-12 11:00:00,124.39,125.33,124.39,124.6,76687.11
2025-04-12 12:00:00,124.6,126.61,124.39,126.38,205016.982
2025-04-12 13:00:00,126.39,128.93,126.11,128.59,321507.031
2025-04-12 14:00:00,128.59,131.61,128.22,130.62,542580.478
2025-04-12 15:00:00,130.62,131.77,129.75,130.47,344217.826
2025-04-12 16:00:00,130.47,131.39,129.16,129.69,286567.623
2025-04-12 17:00:00,129.68,129.92,128.2,129.06,192712.591
2025-04-12 18:00:00,129.05,131.08,129.01,130.92,106118.921
2025-04-12 19:00:00,130.92,131.55,129.77,130.71,164332.165
2025-04-12 20:00:00,130.72,134.11,130.6,132.77,240881.839
2025-04-12 21:00:00,132.78,133.05,131.0,132.72,205942.858
2025-04-12 22:00:00,132.71,133.94,131.94,132.06,150740.575
2025-04-12 23:00:00,132.06,132.65,131.62,132.24,115503.151
2025-04-13 00:00:00,132.24,133.71,131.68,133.0,144886.092
2025-04-13 01:00:00,133.01,133.96,131.01,131.36,190316.149
2025-04-13 02:00:00,131.36,133.26,130.87,132.9,173998.138
2025-04-13 03:00:00,132.89,133.23,131.62,131.81,117315.493
2025-04-13 04:00:00,131.81,132.03,129.7,130.23,171236.955
2025-04-13 05:00:00,130.22,130.63,129.55,129.96,143892.65
2025-04-13 06:00:00,129.96,130.27,128.92,128.98,134108.392
2025-04-13 07:00:00,128.98,129.76,128.17,128.55,142983.796
2025-04-13 08:00:00,128.55,130.02,128.2,129.98,185249.96
2025-04-13 09:00:00,129.98,131.61,129.52,131.51,159953.159
2025-04-13 10:00:00,131.5,131.53,130.17,130.82,119875.728
2025-04-13 11:00:00,130.83,130.89,128.84,129.82,136020.74
2025-04-13 12:00:00,129.82,130.43,129.27,129.79,95376.818
2025-04-13 13:00:00,129.79,130.15,126.78,127.64,242969.758
2025-04-13 14:00:00,127.64,129.24,127.31,128.6,183656.046
2025-04-13 15:00:00,128.61,128.92,127.57,128.72,166007.612
2025-04-13 16:00:00,128.71,130.01,128.66,129.6,128797.074
2025-04-13 17:00:00,129.61,132.56,129.46,131.62,252416.905
2025-04-13 18:00:00,131.62,132.29,131.14,131.4,113199.157
2025-04-13 19:00:00,131.41,131.49,127.05,128.21,268577.413
2025-04-13 20:00:00,128.22,129.85,126.09,126.73,248495.771
2025-04-13 21:00:00,126.72,127.58,125.32,127.39,186084.155
2025-04-13 22:00:00,127.4,127.85,126.77,127.15,102394.048
2025-04-13 23:00:00,127.16,130.0,126.8,128.38,246558.594
2025-04-14 00:00:00,128.38,131.74,127.98,130.32,247985.62
2025-04-14 01:00:00,130.33,131.67,129.86,130.63,131605.361
2025-04-14 02:00:00,130.63,136.13,130.1,133.43,409655.843
2025-04-14 03:00:00,133.42,133.63,131.2,131.73,180104.538
2025-04-14 04:00:00,131.74,134.34,131.68,133.64,152339.67
2025-04-14 05:00:00,133.65,134.22,132.18,132.92,132061.623
2025-04-14 06:00:00,132.91,132.96,131.72,132.16,83467.082
2025-04-14 07:00:00,132.15,132.87,131.1,132.3,128063.538
2025-04-14 08:00:00,132.31,133.68,131.83,133.11,145638.379
2025-04-14 09:00:00,133.1,133.94,131.5,131.96,131365.462
2025-04-14 10:00:00,131.96,134.17,131.91,133.76,157685.864
2025-04-14 11:00:00,133.77,133.89,132.59,133.5,108192.601
2025-04-14 12:00:00,133.5,134.34,132.44,133.97,127418.904
2025-04-14 13:00:00,133.98,134.79,131.2,131.58,353993.168
2025-04-14 14:00:00,131.59,134.79,131.16,133.35,283171.434
2025-04-14 15:00:00,133.34,133.44,128.12,128.8,416355.891
2025-04-14 16:00:00,128.8,130.1,128.08,129.18,221400.956
2025-04-14 17:00:00,129.17,130.85,128.98,130.18,153585.758
2025-04-14 18:00:00,130.17,130.86,129.44,130.36,98900.141
2025-04-14 19:00:00,130.35,131.99,130.31,131.08,145606.819
2025-04-14 20:00:00,131.09,131.19,129.46,130.22,92587.529
2025-04-14 21:00:00,130.22,130.25,128.65,129.56,85439.282
2025-04-14 22:00:00,129.56,129.79,128.85,129.67,69009.979
2025-04-14 23:00:00,129.67,130.29,129.2,129.42,94616.008
2025-04-15 00:00:00,129.41,129.5,127.71,129.2,153633.298
2025-04-15 01:00:00,129.19,130.5,127.83,130.34,126313.469
2025-04-15 02:00:00,130.34,130.52,128.28,129.51,123855.373
2025-04-15 03:00:00,129.51,130.75,129.26,130.54,114048.724
2025-04-15 04:00:00,130.54,130.95,129.68,130.86,104423.855
2025-04-15 05:00:00,130.86,132.3,130.83,131.28,146812.516
2025-04-15 06:00:00,131.28,131.67,130.72,131.06,83226.294
2025-04-15 07:00:00,131.07,131.98,131.07,131.55,62094.244
2025-04-15 08:00:00,131.55,132.27,131.34,131.72,118456.127
2025-04-15 09:00:00,131.72,133.54,131.51,133.54,145411.039
2025-04-15 10:00:00,133.53,133.92,131.67,132.35,150716.08
2025-04-15 11:00:00,132.36,132.66,131.62,132.15,100464.94
2025-04-15 12:00:00,132.14,133.06,131.22,132.58,105610.685
2025-04-15 13:00:00,132.57,134.45,131.94,132.08,269632.938
2025-04-15 14:00:00,132.09,132.8,129.82,130.7,330533.841
2025-04-15 15:00:00,130.7,131.67,129.07,129.61,224266.865
2025-04-15 16:00:00,129.62,130.6,129.3,129.7,117761.788
2025-04-15 17:00:00,129.7,129.98,127.93,128.24,155912.805
2025-04-15 18:00:00,128.23,128.61,127.31,128.16,148370.084
2025-04-15 19:00:00,128.15,128.71,127.41,127.88,116749.884
2025-04-15 20:00:00,127.89,128.35,126.77,127.73,133775.96
2025-04-15 21:00:00,127.74,128.59,127.45,128.12,131675.43
2025-04-15 22:00:00,128.11,128.11,125.82,126.51,130954.99
2025-04-15 23:00:00,126.51,127.15,126.03,126.11,136781.268
2025-04-16 00:00:00,126.1,127.35,125.05,125.21,184294.113
2025-04-16 01:00:00,125.2,126.52,124.8,126.21,140424.041
2025-04-16 02:00:00,126.21,127.1,125.82,127.0,128925.054
2025-04-16 03:00:00,127.0,127.29,126.22,126.44,79908.048
2025-04-16 04:00:00,126.45,126.68,125.18,125.93,78228.275
2025-04-16 05:00:00,125.93,126.61,124.37,125.4,146618.211
2025-04-16 06:00:00,125.39,126.44,125.12,126.1,79450.009
2025-04-16 07:00:00,126.1,126.36,124.57,124.78,110409.829
2025-04-16 08:00:00,124.78,125.67,123.49,125.13,225721.347
2025-04-16 09:00:00,125.13,125.68,124.39,124.52,117968.324
