datetime,open,high,low,close,volume
2025-04-09 10:00:00,7.65,7.71,7.6,7.67,275086.45
2025-04-09 11:00:00,7.67,7.67,7.41,7.47,874403.975
2025-04-09 12:00:00,7.48,7.56,7.4,7.52,477553.652
2025-04-09 13:00:00,7.53,7.69,7.48,7.63,848251.599
2025-04-09 14:00:00,7.63,7.7,7.56,7.57,623860.171
2025-04-09 15:00:00,7.57,7.67,7.57,7.62,308674.951
2025-04-09 16:00:00,7.62,7.75,7.61,7.72,319965.753
2025-04-09 17:00:00,7.72,8.28,7.66,8.26,4426267.943
2025-04-09 18:00:00,8.25,8.32,8.06,8.07,1834959.896
2025-04-09 19:00:00,8.07,8.19,8.07,8.18,422473.568
2025-04-09 20:00:00,8.18,8.34,8.16,8.32,496706.306
2025-04-09 21:00:00,8.32,8.39,8.25,8.28,550308.593
2025-04-09 22:00:00,8.29,8.31,8.21,8.24,339024.055
2025-04-09 23:00:00,8.23,8.25,8.15,8.17,259684.87
2025-04-10 00:00:00,8.17,8.23,8.07,8.12,634319.819
2025-04-10 01:00:00,8.13,8.15,8.08,8.1,299774.38
2025-04-10 02:00:00,8.09,8.13,8.06,8.07,242950.67
2025-04-10 03:00:00,8.08,8.08,7.91,7.99,603524.891
2025-04-10 04:00:00,8.0,8.03,7.94,8.03,293110.891
2025-04-10 05:00:00,8.03,8.11,8.01,8.06,252798.657
2025-04-10 06:00:00,8.06,8.1,8.03,8.07,174379.096
2025-04-10 07:00:00,8.07,8.1,7.95,7.99,345099.785
2025-04-10 08:00:00,8.0,8.02,7.94,7.99,247887.842
2025-04-10 09:00:00,7.99,8.03,7.96,8.01,213829.493
2025-04-10 10:00:00,8.01,8.03,7.94,7.98,161085.066
2025-04-10 11:00:00,7.97,7.99,7.89,7.98,201557.478
2025-04-10 12:00:00,7.98,8.16,7.97,8.03,740167.892
2025-04-10 13:00:00,8.02,8.07,7.89,7.93,613050.451
2025-04-10 14:00:00,7.94,8.05,7.9,7.99,337894.948
2025-04-10 15:00:00,8.0,8.01,7.66,7.73,866311.396
2025-04-10 16:00:00,7.72,7.83,7.68,7.82,733438.977
2025-04-10 17:00:00,7.81,7.87,7.75,7.85,423974.573
2025-04-10 18:00:00,7.85,7.9,7.81,7.84,259241.861
2025-04-10 19:00:00,7.84,7.88,7.8,7.83,239646.857
2025-04-10 20:00:00,7.84,7.92,7.83,7.91,105755.021
2025-04-10 21:00:00,7.91,7.93,7.86,7.89,94389.467
2025-04-10 22:00:00,7.89,7.93,7.87,7.88,245908.699
2025-04-10 23:00:00,7.88,7.93,7.87,7.92,156017.791
2025-04-11 00:00:00,7.92,7.96,7.88,7.89,220863.443
2025-04-11 01:00:00,7.89,8.02,7.88,8.02,261552.145
2025-04-11 02:00:00,8.02,8.09,7.99,8.02,163830.776
2025-04-11 03:00:00,8.02,8.07,8.02,8.04,212354.34
2025-04-11 04:00:00,8.04,8.07,7.99,8.01,130747.482
2025-04-11 05:00:00,8.02,8.02,7.98,8.02,110357.745
2025-04-11 06:00:00,8.01,8.09,8.01,8.05,182084.404
