datetime,open,high,low,close,volume
2025-04-09 10:00:00,1.8273,1.842,1.818,1.8341,8465284.0
2025-04-09 11:00:00,1.8341,1.8344,1.7637,1.7818,28790957.0
2025-04-09 12:00:00,1.7818,1.8086,1.765,1.7947,15219072.0
2025-04-09 13:00:00,1.7946,1.8652,1.783,1.8236,27893876.0
2025-04-09 14:00:00,1.8236,1.848,1.8134,1.8146,21689228.0
2025-04-09 15:00:00,1.8147,1.8428,1.8139,1.8287,12885531.0
2025-04-09 16:00:00,1.8289,1.8663,1.8237,1.8636,13192526.0
2025-04-09 17:00:00,1.8636,2.0845,1.846,2.0707,121148149.0
2025-04-09 18:00:00,2.0707,2.0858,2.0024,2.0043,40654859.0
2025-04-09 19:00:00,2.0044,2.051,2.0042,2.0389,17979206.0
2025-04-09 20:00:00,2.039,2.0758,2.0321,2.0713,12848289.0
2025-04-09 21:00:00,2.0711,2.0897,2.0532,2.0784,22843589.0
2025-04-09 22:00:00,2.0783,2.0837,2.06,2.0662,8257624.0
2025-04-09 23:00:00,2.0662,2.072,2.0464,2.0529,10876317.0
2025-04-10 00:00:00,2.0529,2.0572,2.0085,2.0301,13048800.0
2025-04-10 01:00:00,2.0301,2.0371,2.0125,2.0175,6368852.0
2025-04-10 02:00:00,2.0175,2.0311,2.0075,2.0105,6395958.0
2025-04-10 03:00:00,2.0105,2.0117,1.9708,2.0027,12881688.0
2025-04-10 04:00:00,2.0027,2.0102,1.975,1.9971,11957231.0
2025-04-10 05:00:00,1.997,2.0137,1.99,2.0053,8296879.0
2025-04-10 06:00:00,2.0053,2.0176,1.9883,1.9964,8528073.0
2025-04-10 07:00:00,1.9964,2.0078,1.9744,1.9903,10235053.0
2025-04-10 08:00:00,1.9903,2.0014,1.9833,1.9893,4647385.0
2025-04-10 09:00:00,1.9893,2.0117,1.9833,2.01,5201522.0
2025-04-10 10:00:00,2.0099,2.0149,1.9915,2.0038,5458289.0
2025-04-10 11:00:00,2.0038,2.0078,1.9802,2.0,5469392.0
2025-04-10 12:00:00,1.9999,2.0449,1.989,2.0001,18186899.0
2025-04-10 13:00:00,2.0002,2.0192,1.9726,1.9923,13614853.0
2025-04-10 14:00:00,1.9922,2.0316,1.981,2.004,12895051.0
2025-04-10 15:00:00,2.0039,2.0062,1.9223,1.9338,25689216.0
2025-04-10 16:00:00,1.9338,1.9552,1.9235,1.952,14348893.0
2025-04-10 17:00:00,1.952,1.9656,1.9348,1.9404,8979561.0
2025-04-10 18:00:00,1.9405,1.9715,1.9366,1.9609,7295950.0
