datetime,symbol,action,price,sentiment
2025-04-10 05:00:00,AVAXUSDT,BUY,18.26,0.0941
2025-04-10 07:00:00,AVAXUSDT,CLOSE-LONG,18.04,0.0941
2025-04-10 08:00:00,AVAXUSDT,CLOSE-LONG,18.07,0.0941
2025-04-10 09:00:00,AVAXUSDT,CLOSE-LONG,18.07,0.0941
2025-04-10 10:00:00,AVAXUSDT,CLOSE-LONG,17.97,0.0941
2025-04-10 11:00:00,AVAXUSDT,CLOSE-LONG,18.02,0.0941
2025-04-10 12:00:00,AVAXUSDT,CLOSE-LONG,18.14,0.0941
2025-04-10 13:00:00,AVAXUSDT,BUY,18.08,0.0941
2025-04-10 15:00:00,AVAXUSDT,CLOSE-LONG,17.67,0.0941
2025-04-10 16:00:00,AVAXUSDT,CLOSE-LONG,17.94,0.0941
2025-04-10 17:00:00,AVAXUSDT,BUY,17.92,0.0941
2025-04-10 18:00:00,AVAXUSDT,CLOSE-LONG,18.16,0.0941
2025-04-10 19:00:00,AVAXUSDT,BUY,18.11,0.0941
2025-04-10 20:00:00,AVAXUSDT,CLOSE-LONG,18.36,0.0941
2025-04-10 21:00:00,AVAXUSDT,BUY,18.26,0.0941
2025-04-11 01:00:00,AVAXUSDT,CLOSE-LONG,18.52,0.0941
2025-04-11 02:00:00,AVAXUSDT,BUY,18.47,0.0941
2025-04-11 09:00:00,AVAXUSDT,CLOSE-LONG,18.68,0.0941
2025-04-11 10:00:00,AVAXUSDT,BUY,18.85,0.0941
2025-04-11 12:00:00,AVAXUSDT,CLOSE-LONG,19.2,0.0941
2025-04-11 13:00:00,AVAXUSDT,BUY,19.12,0.0941
2025-04-11 14:00:00,AVAXUSDT,CLOSE-LONG,19.45,0.0941
2025-04-11 15:00:00,AVAXUSDT,BUY,19.2,0.0941
2025-04-11 17:00:00,AVAXUSDT,CLOSE-LONG,19.43,0.0941
2025-04-11 18:00:00,AVAXUSDT,BUY,19.24,0.0941
2025-04-11 22:00:00,AVAXUSDT,CLOSE-LONG,19.13,0.0941
2025-04-11 23:00:00,AVAXUSDT,BUY,19.12,0.0941
2025-04-12 01:00:00,AVAXUSDT,CLOSE-LONG,18.96,0.0941
2025-04-12 02:00:00,AVAXUSDT,BUY,18.85,0.0941
2025-04-12 04:00:00,AVAXUSDT,CLOSE-LONG,19.14,0.0941
2025-04-12 05:00:00,AVAXUSDT,BUY,19.1,0.0941
2025-04-12 13:00:00,AVAXUSDT,CLOSE-LONG,19.44,0.0941
2025-04-12 14:00:00,AVAXUSDT,BUY,19.93,0.0941
2025-04-12 15:00:00,AVAXUSDT,CLOSE-LONG,20.51,0.0941
2025-04-12 16:00:00,AVAXUSDT,BUY,20.39,0.0941
2025-04-12 17:00:00,AVAXUSDT,CLOSE-LONG,20.16,0.0941
2025-04-12 19:00:00,AVAXUSDT,CLOSE-LONG,20.19,0.0941
2025-04-12 20:00:00,AVAXUSDT,BUY,20.32,0.0941
2025-04-12 21:00:00,AVAXUSDT,CLOSE-LONG,20.56,0.0941
2025-04-12 22:00:00,AVAXUSDT,BUY,20.45,0.0941
2025-04-13 01:00:00,AVAXUSDT,CLOSE-LONG,20.29,0.0941
2025-04-13 02:00:00,AVAXUSDT,BUY,20.4,0.0941
2025-04-13 03:00:00,AVAXUSDT,CLOSE-LONG,20.25,0.0941
2025-04-13 04:00:00,AVAXUSDT,BUY,20.12,0.0941
2025-04-13 06:00:00,AVAXUSDT,CLOSE-LONG,19.99,0.0941
2025-04-13 07:00:00,AVAXUSDT,BUY,19.92,0.0941
2025-04-13 09:00:00,AVAXUSDT,CLOSE-LONG,20.25,0.0941
2025-04-13 10:00:00,AVAXUSDT,BUY,20.13,0.0941
2025-04-13 11:00:00,AVAXUSDT,CLOSE-LONG,20.0,0.0941
2025-04-13 17:00:00,AVAXUSDT,BUY,20.39,0.0941
2025-04-13 18:00:00,AVAXUSDT,CLOSE-LONG,20.26,0.0941
2025-04-14 02:00:00,AVAXUSDT,BUY,20.19,0.0941
2025-04-14 03:00:00,AVAXUSDT,CLOSE-LONG,19.97,0.0941
2025-04-14 05:00:00,AVAXUSDT,CLOSE-LONG,19.93,0.0941
2025-04-14 06:00:00,AVAXUSDT,CLOSE-LONG,19.97,0.0941
2025-04-14 09:00:00,AVAXUSDT,CLOSE-LONG,20.07,0.0941
2025-04-14 10:00:00,AVAXUSDT,BUY,20.48,0.0941
2025-04-14 13:00:00,AVAXUSDT,CLOSE-LONG,20.16,0.0941
2025-04-14 15:00:00,AVAXUSDT,CLOSE-LONG,19.83,0.0941
2025-04-14 16:00:00,AVAXUSDT,CLOSE-LONG,19.96,0.0941
2025-04-14 17:00:00,AVAXUSDT,CLOSE-LONG,20.34,0.0941
2025-04-14 18:00:00,AVAXUSDT,BUY,20.4,0.0941
2025-04-14 21:00:00,AVAXUSDT,CLOSE-LONG,20.16,0.0941
2025-04-14 22:00:00,AVAXUSDT,CLOSE-LONG,20.17,0.0941
2025-04-14 23:00:00,AVAXUSDT,CLOSE-LONG,20.11,0.0941
2025-04-15 00:00:00,AVAXUSDT,CLOSE-LONG,20.16,0.0941
2025-04-15 01:00:00,AVAXUSDT,CLOSE-LONG,20.01,0.0941
2025-04-15 02:00:00,AVAXUSDT,CLOSE-LONG,20.06,0.0941
2025-04-15 03:00:00,AVAXUSDT,CLOSE-LONG,20.24,0.0941
