datetime,symbol,action,price,sentiment
2025-04-10 13:00:00,ETHUSDT,SELL,1568.77,-0.0847
2025-04-10 15:00:00,ETHUSDT,CLOSE-SHORT,1495.98,-0.0847
2025-04-10 16:00:00,ETHUSDT,SELL,1510.73,-0.0847
2025-04-10 18:00:00,ETHUSDT,CLOSE-SHORT,1518.72,-0.0847
2025-04-10 19:00:00,ETHUSDT,SELL,1514.67,-0.0847
2025-04-10 20:00:00,ETHUSDT,CLOSE-SHORT,1531.28,-0.0847
2025-04-10 21:00:00,ETHUSDT,CLOSE-SHORT,1524.9,-0.0847
2025-04-10 22:00:00,ETHUSDT,SELL,1524.85,-0.0847
2025-04-11 00:00:00,ETHUSDT,CLOSE-SHORT,1508.4,-0.0847
2025-04-11 01:00:00,ETHUSDT,SELL,1543.13,-0.0847
2025-04-11 06:00:00,ETHUSDT,CLOSE-SHORT,1552.64,-0.0847
2025-04-12 02:00:00,ETHUSDT,SELL,1547.76,-0.0847
2025-04-12 04:00:00,ETHUSDT,CLOSE-SHORT,1567.52,-0.0847
2025-04-12 05:00:00,ETHUSDT,CLOSE-SHORT,1568.56,-0.0847
2025-04-12 06:00:00,ETHUSDT,CLOSE-SHORT,1573.85,-0.0847
2025-04-12 07:00:00,ETHUSDT,CLOSE-SHORT,1582.05,-0.0847
2025-04-12 08:00:00,ETHUSDT,CLOSE-SHORT,1591.76,-0.0847
2025-04-12 09:00:00,ETHUSDT,CLOSE-SHORT,1597.5,-0.0847
2025-04-12 10:00:00,ETHUSDT,CLOSE-SHORT,1592.02,-0.0847
2025-04-12 11:00:00,ETHUSDT,CLOSE-SHORT,1594.06,-0.0847
2025-04-12 12:00:00,ETHUSDT,CLOSE-SHORT,1607.22,-0.0847
2025-04-12 13:00:00,ETHUSDT,CLOSE-SHORT,1638.76,-0.0847
2025-04-12 14:00:00,ETHUSDT,CLOSE-SHORT,1653.85,-0.0847
2025-04-12 15:00:00,ETHUSDT,CLOSE-SHORT,1655.87,-0.0847
2025-04-12 16:00:00,ETHUSDT,CLOSE-SHORT,1643.72,-0.0847
2025-04-12 17:00:00,ETHUSDT,CLOSE-SHORT,1633.82,-0.0847
2025-04-12 18:00:00,ETHUSDT,CLOSE-SHORT,1650.66,-0.0847
2025-04-12 19:00:00,ETHUSDT,CLOSE-SHORT,1642.63,-0.0847
2025-04-12 20:00:00,ETHUSDT,CLOSE-SHORT,1649.24,-0.0847
2025-04-12 21:00:00,ETHUSDT,CLOSE-SHORT,1647.35,-0.0847
2025-04-12 22:00:00,ETHUSDT,CLOSE-SHORT,1649.85,-0.0847
2025-04-12 23:00:00,ETHUSDT,CLOSE-SHORT,1644.18,-0.0847
2025-04-13 00:00:00,ETHUSDT,CLOSE-SHORT,1642.1,-0.0847
2025-04-13 01:00:00,ETHUSDT,CLOSE-SHORT,1617.11,-0.0847
2025-04-13 02:00:00,ETHUSDT,CLOSE-SHORT,1625.4,-0.0847
2025-04-13 03:00:00,ETHUSDT,CLOSE-SHORT,1624.53,-0.0847
2025-04-13 04:00:00,ETHUSDT,CLOSE-SHORT,1609.0,-0.0847
2025-04-13 05:00:00,ETHUSDT,CLOSE-SHORT,1609.28,-0.0847
2025-04-13 06:00:00,ETHUSDT,CLOSE-SHORT,1616.99,-0.0847
2025-04-13 07:00:00,ETHUSDT,CLOSE-SHORT,1613.5,-0.0847
2025-04-13 08:00:00,ETHUSDT,CLOSE-SHORT,1620.6,-0.0847
