datetime,symbol,action,price,sentiment
2025-04-10 15:00:00,LINKUSDT,SELL,11.83,-0.0551
2025-04-10 17:00:00,LINKUSDT,CLOSE-SHORT,11.94,-0.0551
2025-04-10 18:00:00,LINKUSDT,CLOSE-SHORT,12.0,-0.0551
2025-04-10 19:00:00,LINKUSDT,CLOSE-SHORT,12.0,-0.0551
2025-04-10 20:00:00,LINKUSDT,CLOSE-SHORT,12.09,-0.0551
2025-04-10 21:00:00,LINKUSDT,CLOSE-SHORT,12.07,-0.0551
2025-04-10 22:00:00,LINKUSDT,CLOSE-SHORT,12.05,-0.0551
2025-04-10 23:00:00,LINKUSDT,CLOSE-SHORT,12.08,-0.0551
2025-04-11 00:00:00,LINKUSDT,CLOSE-SHORT,12.05,-0.0551
2025-04-11 01:00:00,LINKUSDT,CLOSE-SHORT,12.36,-0.0551
2025-04-11 02:00:00,LINKUSDT,CLOSE-SHORT,12.29,-0.0551
2025-04-11 03:00:00,LINKUSDT,CLOSE-SHORT,12.39,-0.0551
2025-04-11 04:00:00,LINKUSDT,CLOSE-SHORT,12.41,-0.0551
2025-04-11 05:00:00,LINKUSDT,CLOSE-SHORT,12.41,-0.0551
2025-04-11 06:00:00,LINKUSDT,CLOSE-SHORT,12.45,-0.0551
2025-04-11 07:00:00,LINKUSDT,CLOSE-SHORT,12.4,-0.0551
2025-04-11 08:00:00,LINKUSDT,CLOSE-SHORT,12.41,-0.0551
2025-04-11 09:00:00,LINKUSDT,CLOSE-SHORT,12.54,-0.0551
2025-04-11 10:00:00,LINKUSDT,CLOSE-SHORT,12.63,-0.0551
2025-04-11 11:00:00,LINKUSDT,CLOSE-SHORT,12.47,-0.0551
2025-04-11 12:00:00,LINKUSDT,CLOSE-SHORT,12.5,-0.0551
2025-04-11 13:00:00,LINKUSDT,CLOSE-SHORT,12.61,-0.0551
2025-04-11 14:00:00,LINKUSDT,CLOSE-SHORT,12.48,-0.0551
2025-04-11 15:00:00,LINKUSDT,CLOSE-SHORT,12.55,-0.0551
2025-04-11 16:00:00,LINKUSDT,CLOSE-SHORT,12.58,-0.0551
2025-04-11 17:00:00,LINKUSDT,CLOSE-SHORT,12.75,-0.0551
2025-04-11 18:00:00,LINKUSDT,CLOSE-SHORT,12.71,-0.0551
2025-04-11 19:00:00,LINKUSDT,CLOSE-SHORT,12.71,-0.0551
2025-04-11 20:00:00,LINKUSDT,CLOSE-SHORT,12.77,-0.0551
2025-04-11 21:00:00,LINKUSDT,CLOSE-SHORT,12.73,-0.0551
2025-04-11 22:00:00,LINKUSDT,CLOSE-SHORT,12.69,-0.0551
2025-04-11 23:00:00,LINKUSDT,CLOSE-SHORT,12.64,-0.0551
2025-04-12 00:00:00,LINKUSDT,CLOSE-SHORT,12.59,-0.0551
2025-04-12 01:00:00,LINKUSDT,CLOSE-SHORT,12.57,-0.0551
2025-04-12 02:00:00,LINKUSDT,CLOSE-SHORT,12.48,-0.0551
