datetime,symbol,action,price,sentiment
2025-04-10 05:00:00,SOLUSDT,BUY,116.14,0.1109
2025-04-10 07:00:00,SOLUSDT,CLOSE-LONG,114.78,0.1109
2025-04-10 08:00:00,SOLUSDT,CLOSE-LONG,114.61,0.1109
2025-04-10 09:00:00,SOLUSDT,CLOSE-LONG,114.86,0.1109
2025-04-10 10:00:00,SOLUSDT,CLOSE-LONG,114.44,0.1109
2025-04-10 11:00:00,SOLUSDT,CLOSE-LONG,113.95,0.1109
2025-04-10 12:00:00,SOLUSDT,CLOSE-LONG,113.38,0.1109
2025-04-10 13:00:00,SOLUSDT,CLOSE-LONG,112.77,0.1109
2025-04-10 14:00:00,SOLUSDT,CLOSE-LONG,112.9,0.1109
2025-04-10 15:00:00,SOLUSDT,CLOSE-LONG,109.6,0.1109
2025-04-10 16:00:00,SOLUSDT,CLOSE-LONG,109.41,0.1109
2025-04-10 17:00:00,SOLUSDT,CLOSE-LONG,110.46,0.1109
2025-04-10 18:00:00,SOLUSDT,CLOSE-LONG,111.38,0.1109
2025-04-10 19:00:00,SOLUSDT,CLOSE-LONG,111.34,0.1109
2025-04-10 20:00:00,SOLUSDT,CLOSE-LONG,112.84,0.1109
2025-04-10 21:00:00,SOLUSDT,CLOSE-LONG,112.35,0.1109
2025-04-10 22:00:00,SOLUSDT,CLOSE-LONG,112.66,0.1109
2025-04-10 23:00:00,SOLUSDT,CLOSE-LONG,112.81,0.1109
2025-04-11 00:00:00,SOLUSDT,CLOSE-LONG,112.25,0.1109
2025-04-11 01:00:00,SOLUSDT,CLOSE-LONG,114.2,0.1109
2025-04-11 02:00:00,SOLUSDT,CLOSE-LONG,114.39,0.1109
2025-04-11 03:00:00,SOLUSDT,CLOSE-LONG,115.41,0.1109
2025-04-11 04:00:00,SOLUSDT,BUY,115.49,0.1109
2025-04-11 06:00:00,SOLUSDT,CLOSE-LONG,116.96,0.1109
2025-04-11 07:00:00,SOLUSDT,BUY,116.59,0.1109
2025-04-11 09:00:00,SOLUSDT,CLOSE-LONG,118.23,0.1109
2025-04-11 10:00:00,SOLUSDT,BUY,118.7,0.1109
2025-04-11 11:00:00,SOLUSDT,CLOSE-LONG,118.02,0.1109
2025-04-11 12:00:00,SOLUSDT,BUY,117.9,0.1109
2025-04-11 13:00:00,SOLUSDT,CLOSE-LONG,120.58,0.1109
2025-04-11 14:00:00,SOLUSDT,BUY,119.7,0.1109
2025-04-11 17:00:00,SOLUSDT,CLOSE-LONG,121.41,0.1109
2025-04-11 18:00:00,SOLUSDT,BUY,119.93,0.1109
2025-04-11 20:00:00,SOLUSDT,CLOSE-LONG,121.6,0.1109
2025-04-11 21:00:00,SOLUSDT,BUY,121.15,0.1109
2025-04-12 02:00:00,SOLUSDT,CLOSE-LONG,119.64,0.1109
