datetime,symbol,action,price,sentiment
2025-04-10 05:00:00,SUIUSDT,BUY,2.14,0.0315
2025-04-10 06:00:00,SUIUSDT,CLOSE-LONG,2.16,0.0315
2025-04-10 07:00:00,SUIUSDT,BUY,2.14,0.0315
2025-04-10 15:00:00,SUIUSDT,CLOSE-LONG,2.06,0.0315
2025-04-10 16:00:00,SUIUSDT,CLOSE-LONG,2.08,0.0315
2025-04-10 17:00:00,SUIUSDT,CLOSE-LONG,2.07,0.0315
2025-04-10 18:00:00,SUIUSDT,CLOSE-LONG,2.08,0.0315
2025-04-10 19:00:00,SUIUSDT,CLOSE-LONG,2.08,0.0315
2025-04-10 20:00:00,SUIUSDT,CLOSE-LONG,2.12,0.0315
2025-04-10 21:00:00,SUIUSDT,CLOSE-LONG,2.1,0.0315
2025-04-10 22:00:00,SUIUSDT,CLOSE-LONG,2.1,0.0315
2025-04-10 23:00:00,SUIUSDT,CLOSE-LONG,2.11,0.0315
2025-04-11 00:00:00,SUIUSDT,CLOSE-LONG,2.1,0.0315
2025-04-11 03:00:00,SUIUSDT,CLOSE-LONG,2.17,0.0315
2025-04-11 04:00:00,SUIUSDT,BUY,2.17,0.0315
2025-04-11 06:00:00,SUIUSDT,CLOSE-LONG,2.2,0.0315
2025-04-11 07:00:00,SUIUSDT,BUY,2.18,0.0315
2025-04-11 17:00:00,SUIUSDT,CLOSE-LONG,2.21,0.0315
2025-04-11 18:00:00,SUIUSDT,BUY,2.23,0.0315
2025-04-11 21:00:00,SUIUSDT,CLOSE-LONG,2.21,0.0315
2025-04-11 22:00:00,SUIUSDT,BUY,2.2,0.0315
2025-04-11 23:00:00,SUIUSDT,CLOSE-LONG,2.19,0.0315
2025-04-12 00:00:00,SUIUSDT,BUY,2.18,0.0315
2025-04-12 02:00:00,SUIUSDT,CLOSE-LONG,2.16,0.0315
2025-04-12 07:00:00,SUIUSDT,BUY,2.2,0.0315
2025-04-12 13:00:00,SUIUSDT,CLOSE-LONG,2.26,0.0315
2025-04-12 14:00:00,SUIUSDT,BUY,2.31,0.0315
2025-04-12 16:00:00,SUIUSDT,CLOSE-LONG,2.3,0.0315
2025-04-12 17:00:00,SUIUSDT,BUY,2.29,0.0315
2025-04-12 18:00:00,SUIUSDT,CLOSE-LONG,2.33,0.0315
2025-04-12 19:00:00,SUIUSDT,BUY,2.34,0.0315
2025-04-12 20:00:00,SUIUSDT,CLOSE-LONG,2.37,0.0315
2025-04-12 21:00:00,SUIUSDT,BUY,2.37,0.0315
2025-04-12 23:00:00,SUIUSDT,CLOSE-LONG,2.35,0.0315
2025-04-13 00:00:00,SUIUSDT,BUY,2.35,0.0315
2025-04-13 01:00:00,SUIUSDT,CLOSE-LONG,2.33,0.0315
2025-04-13 02:00:00,SUIUSDT,BUY,2.35,0.0315
2025-04-13 03:00:00,SUIUSDT,CLOSE-LONG,2.41,0.0315
2025-04-13 04:00:00,SUIUSDT,BUY,2.36,0.0315
2025-04-13 06:00:00,SUIUSDT,CLOSE-LONG,2.35,0.0315
2025-04-13 07:00:00,SUIUSDT,BUY,2.32,0.0315
2025-04-13 09:00:00,SUIUSDT,CLOSE-LONG,2.36,0.0315
2025-04-13 10:00:00,SUIUSDT,BUY,2.35,0.0315
2025-04-13 11:00:00,SUIUSDT,CLOSE-LONG,2.33,0.0315
2025-04-13 12:00:00,SUIUSDT,CLOSE-LONG,2.33,0.0315
2025-04-14 09:00:00,SUIUSDT,BUY,2.29,0.0315
2025-04-14 10:00:00,SUIUSDT,CLOSE-LONG,2.32,0.0315
2025-04-14 11:00:00,SUIUSDT,BUY,2.32,0.0315
2025-04-14 13:00:00,SUIUSDT,CLOSE-LONG,2.29,0.0315
2025-04-14 14:00:00,SUIUSDT,CLOSE-LONG,2.31,0.0315
