datetime,symbol,action,price,sentiment
2025-04-10 05:00:00,TRUMPUSDT,BUY,8.06,0.0861
2025-04-10 07:00:00,TRUMPUSDT,CLOSE-LONG,7.99,0.0861
2025-04-10 08:00:00,TRUMPUSDT,BUY,7.99,0.0861
2025-04-10 13:00:00,TRUMPUSDT,CLOSE-LONG,7.93,0.0861
2025-04-10 14:00:00,TRUMPUSDT,BUY,7.99,0.0861
2025-04-10 15:00:00,TRUMPUSDT,CLOSE-LONG,7.73,0.0861
2025-04-10 16:00:00,TRUMPUSDT,CLOSE-LONG,7.82,0.0861
2025-04-10 17:00:00,TRUMPUSDT,CLOSE-LONG,7.85,0.0861
2025-04-10 18:00:00,TRUMPUSDT,CLOSE-LONG,7.84,0.0861
2025-04-10 19:00:00,TRUMPUSDT,CLOSE-LONG,7.83,0.0861
2025-04-10 20:00:00,TRUMPUSDT,CLOSE-LONG,7.91,0.0861
2025-04-10 21:00:00,TRUMPUSDT,CLOSE-LONG,7.89,0.0861
2025-04-10 22:00:00,TRUMPUSDT,CLOSE-LONG,7.88,0.0861
2025-04-10 23:00:00,TRUMPUSDT,CLOSE-LONG,7.92,0.0861
2025-04-11 00:00:00,TRUMPUSDT,CLOSE-LONG,7.89,0.0861
2025-04-11 09:00:00,TRUMPUSDT,CLOSE-LONG,8.09,0.0861
2025-04-11 10:00:00,TRUMPUSDT,BUY,8.08,0.0861
2025-04-11 11:00:00,TRUMPUSDT,CLOSE-LONG,8.01,0.0861
2025-04-11 12:00:00,TRUMPUSDT,BUY,8.02,0.0861
2025-04-11 17:00:00,TRUMPUSDT,CLOSE-LONG,8.11,0.0861
2025-04-11 18:00:00,TRUMPUSDT,BUY,8.08,0.0861
2025-04-12 02:00:00,TRUMPUSDT,CLOSE-LONG,7.99,0.0861
2025-04-12 03:00:00,TRUMPUSDT,CLOSE-LONG,8.0,0.0861
2025-04-12 08:00:00,TRUMPUSDT,CLOSE-LONG,8.18,0.0861
2025-04-12 09:00:00,TRUMPUSDT,BUY,8.17,0.0861
2025-04-12 12:00:00,TRUMPUSDT,CLOSE-LONG,8.26,0.0861
2025-04-12 13:00:00,TRUMPUSDT,BUY,8.33,0.0861
2025-04-12 14:00:00,TRUMPUSDT,CLOSE-LONG,8.5,0.0861
2025-04-12 15:00:00,TRUMPUSDT,BUY,8.48,0.0861
2025-04-12 17:00:00,TRUMPUSDT,CLOSE-LONG,8.42,0.0861
2025-04-12 18:00:00,TRUMPUSDT,BUY,8.51,0.0861
2025-04-12 19:00:00,TRUMPUSDT,CLOSE-LONG,8.45,0.0861
2025-04-12 20:00:00,TRUMPUSDT,BUY,8.58,0.0861
2025-04-12 23:00:00,TRUMPUSDT,CLOSE-LONG,8.69,0.0861
2025-04-13 00:00:00,TRUMPUSDT,BUY,8.75,0.0861
2025-04-13 01:00:00,TRUMPUSDT,CLOSE-LONG,8.65,0.0861
2025-04-13 02:00:00,TRUMPUSDT,CLOSE-LONG,8.65,0.0861
2025-04-13 04:00:00,TRUMPUSDT,CLOSE-LONG,8.58,0.0861
2025-04-13 05:00:00,TRUMPUSDT,CLOSE-LONG,8.61,0.0861
2025-04-13 06:00:00,TRUMPUSDT,CLOSE-LONG,8.59,0.0861
2025-04-13 07:00:00,TRUMPUSDT,CLOSE-LONG,8.51,0.0861
2025-04-13 08:00:00,TRUMPUSDT,CLOSE-LONG,8.54,0.0861
2025-04-13 09:00:00,TRUMPUSDT,CLOSE-LONG,8.67,0.0861
2025-04-13 10:00:00,TRUMPUSDT,BUY,8.72,0.0861
2025-04-13 11:00:00,TRUMPUSDT,CLOSE-LONG,8.66,0.0861
2025-04-13 12:00:00,TRUMPUSDT,BUY,8.67,0.0861
2025-04-13 13:00:00,TRUMPUSDT,CLOSE-LONG,8.47,0.0861
