datetime,symbol,action,price,sentiment
2025-04-10 05:00:00,XRPUSDT,BUY,2.01,0.0943
2025-04-10 07:00:00,XRPUSDT,CLOSE-LONG,1.99,0.0943
2025-04-10 08:00:00,XRPUSDT,BUY,1.99,0.0943
2025-04-10 09:00:00,XRPUSDT,CLOSE-LONG,2.01,0.0943
2025-04-10 10:00:00,XRPUSDT,BUY,2.0,0.0943
2025-04-10 13:00:00,XRPUSDT,CLOSE-LONG,1.99,0.0943
2025-04-10 14:00:00,XRPUSDT,BUY,2.0,0.0943
2025-04-10 15:00:00,XRPUSDT,CLOSE-LONG,1.93,0.0943
2025-04-10 16:00:00,XRPUSDT,CLOSE-LONG,1.95,0.0943
2025-04-10 17:00:00,XRPUSDT,CLOSE-LONG,1.94,0.0943
2025-04-10 18:00:00,XRPUSDT,CLOSE-LONG,1.96,0.0943
2025-04-10 19:00:00,XRPUSDT,CLOSE-LONG,1.96,0.0943
2025-04-10 20:00:00,XRPUSDT,CLOSE-LONG,1.99,0.0943
2025-04-11 01:00:00,XRPUSDT,BUY,1.99,0.0943
2025-04-11 09:00:00,XRPUSDT,CLOSE-LONG,2.02,0.0943
2025-04-11 10:00:00,XRPUSDT,BUY,2.02,0.0943
2025-04-11 12:00:00,XRPUSDT,CLOSE-LONG,2.0,0.0943
2025-04-11 13:00:00,XRPUSDT,BUY,2.01,0.0943
2025-04-11 14:00:00,XRPUSDT,CLOSE-LONG,2.0,0.0943
2025-04-11 15:00:00,XRPUSDT,BUY,2.0,0.0943
2025-04-11 17:00:00,XRPUSDT,CLOSE-LONG,2.04,0.0943
2025-04-11 18:00:00,XRPUSDT,BUY,2.04,0.0943
2025-04-11 22:00:00,XRPUSDT,CLOSE-LONG,2.02,0.0943
2025-04-11 23:00:00,XRPUSDT,BUY,2.02,0.0943
2025-04-12 02:00:00,XRPUSDT,CLOSE-LONG,2.0,0.0943
2025-04-12 04:00:00,XRPUSDT,BUY,2.03,0.0943
2025-04-12 07:00:00,XRPUSDT,CLOSE-LONG,2.05,0.0943
2025-04-12 08:00:00,XRPUSDT,BUY,2.06,0.0943
2025-04-12 13:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-12 14:00:00,XRPUSDT,BUY,2.15,0.0943
2025-04-12 17:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-12 19:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-12 20:00:00,XRPUSDT,BUY,2.15,0.0943
2025-04-13 04:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-13 05:00:00,XRPUSDT,BUY,2.14,0.0943
2025-04-13 08:00:00,XRPUSDT,CLOSE-LONG,2.18,0.0943
2025-04-13 09:00:00,XRPUSDT,BUY,2.23,0.0943
2025-04-13 11:00:00,XRPUSDT,CLOSE-LONG,2.2,0.0943
2025-04-13 12:00:00,XRPUSDT,CLOSE-LONG,2.18,0.0943
2025-04-13 13:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-13 14:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-13 15:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-13 16:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-13 17:00:00,XRPUSDT,CLOSE-LONG,2.17,0.0943
2025-04-13 18:00:00,XRPUSDT,CLOSE-LONG,2.17,0.0943
2025-04-13 19:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-13 20:00:00,XRPUSDT,CLOSE-LONG,2.11,0.0943
2025-04-13 21:00:00,XRPUSDT,CLOSE-LONG,2.11,0.0943
2025-04-13 22:00:00,XRPUSDT,CLOSE-LONG,2.09,0.0943
2025-04-13 23:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-14 00:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-14 01:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-14 02:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-14 03:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-14 04:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-14 05:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-14 06:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-14 07:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-14 08:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-14 09:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-14 10:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-14 11:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-14 12:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-14 13:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-14 14:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-14 15:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-14 16:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-14 17:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-14 18:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-14 19:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-14 20:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-14 21:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-14 22:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-14 23:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-15 00:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-15 01:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-15 02:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-15 03:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-15 04:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-15 05:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-15 06:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-15 07:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-15 08:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-15 09:00:00,XRPUSDT,CLOSE-LONG,2.17,0.0943
2025-04-15 10:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-15 11:00:00,XRPUSDT,CLOSE-LONG,2.15,0.0943
2025-04-15 12:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-15 13:00:00,XRPUSDT,CLOSE-LONG,2.16,0.0943
2025-04-15 14:00:00,XRPUSDT,CLOSE-LONG,2.14,0.0943
2025-04-15 15:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-15 16:00:00,XRPUSDT,CLOSE-LONG,2.13,0.0943
2025-04-15 17:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-15 18:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-15 19:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-15 20:00:00,XRPUSDT,CLOSE-LONG,2.11,0.0943
2025-04-15 21:00:00,XRPUSDT,CLOSE-LONG,2.12,0.0943
2025-04-15 22:00:00,XRPUSDT,CLOSE-LONG,2.1,0.0943
2025-04-15 23:00:00,XRPUSDT,CLOSE-LONG,2.08,0.0943
2025-04-16 00:00:00,XRPUSDT,CLOSE-LONG,2.07,0.0943
2025-04-16 01:00:00,XRPUSDT,CLOSE-LONG,2.09,0.0943
2025-04-16 02:00:00,XRPUSDT,CLOSE-LONG,2.09,0.0943
2025-04-16 03:00:00,XRPUSDT,CLOSE-LONG,2.08,0.0943
2025-04-16 04:00:00,XRPUSDT,CLOSE-LONG,2.08,0.0943
2025-04-16 05:00:00,XRPUSDT,CLOSE-LONG,2.06,0.0943
2025-04-16 06:00:00,XRPUSDT,CLOSE-LONG,2.07,0.0943
2025-04-16 07:00:00,XRPUSDT,CLOSE-LONG,2.05,0.0943
2025-04-16 08:00:00,XRPUSDT,CLOSE-LONG,2.07,0.0943
2025-04-16 09:00:00,XRPUSDT,CLOSE-LONG,2.07,0.0943
